time,pos_x,vel_x,acc_x,mass,dens,pres,ene,sml,id,neighbor,alpha,gradh,shockSensor,ene_floored
3.165904e-02,-5.221290e-01,-1.248864e+00,-2.623506e+01,2.500000e-03,3.622157e-01,3.360344e-01,2.235746e+00,2.040373e-01,0,73,1.000000e+00,1.151562e-03,0.000000e+00,0
3.165904e-02,-5.188488e-01,-1.229737e+00,-2.634072e+01,2.500000e-03,3.809402e-01,3.530512e-01,2.240098e+00,1.938852e-01,1,70,1.000000e+00,9.028728e-04,7.555483e-01,0
3.165904e-02,-5.153491e-01,-1.199088e+00,-2.630112e+01,2.500000e-03,4.029739e-01,3.731015e-01,2.246909e+00,1.831810e-01,2,67,1.000000e+00,6.175869e-04,7.582903e-01,0
3.165904e-02,-5.116317e-01,-1.155775e+00,-2.605419e+01,2.500000e-03,4.288025e-01,3.966526e-01,2.255204e+00,1.720699e-01,3,64,1.000000e+00,3.016821e-04,7.617638e-01,0
3.165904e-02,-5.077105e-01,-1.099140e+00,-2.553066e+01,2.500000e-03,4.586732e-01,4.239737e-01,2.263840e+00,1.608174e-01,4,61,1.000000e+00,-2.388236e-05,7.660530e-01,0
3.165904e-02,-5.036134e-01,-1.029405e+00,-2.467353e+01,2.500000e-03,4.922842e-01,4.548594e-01,2.271706e+00,1.498235e-01,5,58,1.000000e+00,-3.161364e-04,7.712104e-01,0
3.165904e-02,-4.993853e-01,-9.482143e-01,-2.347400e+01,2.500000e-03,5.284574e-01,4.883302e-01,2.277989e+00,1.395823e-01,6,56,1.000000e+00,-5.150077e-04,7.772391e-01,0
3.165904e-02,-4.950872e-01,-8.589422e-01,-2.200644e+01,2.500000e-03,5.651551e-01,5.226291e-01,2.282485e+00,1.305509e-01,7,54,1.000000e+00,-5.729313e-04,7.840849e-01,0
3.165904e-02,-4.907890e-01,-7.662268e-01,-2.042246e+01,2.500000e-03,6.001501e-01,5.557980e-01,2.285750e+00,1.229778e-01,8,53,1.000000e+00,-4.920957e-04,7.916431e-01,0
3.165904e-02,-4.865553e-01,-6.747517e-01,-1.889044e+01,2.500000e-03,6.319545e-01,5.865008e-01,2.288871e+00,1.168299e-01,9,52,1.000000e+00,-3.248978e-04,7.997696e-01,0
3.165904e-02,-4.824354e-01,-5.881063e-01,-1.753009e+01,2.500000e-03,6.602025e-01,6.143766e-01,2.292952e+00,1.118743e-01,10,52,1.000000e+00,-1.362844e-04,8.082978e-01,0
3.165904e-02,-4.784588e-01,-5.083805e-01,-1.639025e+01,2.500000e-03,6.853472e-01,6.397863e-01,2.298732e+00,1.078171e-01,11,52,1.000000e+00,2.733797e-05,8.170619e-01,0
3.165904e-02,-4.746384e-01,-4.363907e-01,-1.546403e+01,2.500000e-03,7.081647e-01,6.633804e-01,2.306479e+00,1.043963e-01,12,52,1.000000e+00,1.435790e-04,8.259168e-01,0
3.165904e-02,-4.709751e-01,-3.721132e-01,-1.471299e+01,2.500000e-03,7.294195e-01,6.858042e-01,2.316088e+00,1.014138e-01,13,52,1.000000e+00,2.067341e-04,8.347455e-01,0
3.165904e-02,-4.674622e-01,-3.150567e-01,-1.408537e+01,2.500000e-03,7.497228e-01,7.075721e-01,2.327246e+00,9.873280e-02,14,53,1.000000e+00,2.201328e-04,8.434570e-01,0
3.165904e-02,-4.640890e-01,-2.645140e-01,-1.352688e+01,2.500000e-03,7.695018e-01,7.290385e-01,2.339554e+00,9.626532e-02,15,53,1.000000e+00,1.915836e-04,8.519804e-01,0
3.165904e-02,-4.608428e-01,-2.197137e-01,-1.298684e+01,2.500000e-03,7.890108e-01,7.504062e-01,2.352616e+00,9.395905e-02,16,53,1.000000e+00,1.311710e-04,8.602611e-01,0
3.165904e-02,-4.577102e-01,-1.799102e-01,-1.242209e+01,2.500000e-03,8.083532e-01,7.717443e-01,2.366077e+00,9.178692e-02,17,54,1.000000e+00,5.006390e-05,8.682592e-01,0
3.165904e-02,-4.546782e-01,-1.444394e-01,-1.179978e+01,2.500000e-03,8.275079e-01,7.930089e-01,2.379642e+00,8.973897e-02,18,54,1.000000e+00,-4.058578e-05,8.759522e-01,0
3.165904e-02,-4.517346e-01,-1.127498e-01,-1.109916e+01,2.500000e-03,8.463591e-01,8.140684e-01,2.393068e+00,8.781586e-02,19,54,1.000000e+00,-1.309730e-04,8.833391e-01,0
3.165904e-02,-4.488687e-01,-8.441572e-02,-1.031185e+01,2.500000e-03,8.647313e-01,8.347327e-01,2.406162e+00,8.602343e-02,20,55,1.000000e+00,-2.139260e-04,8.904426e-01,0
3.165904e-02,-4.460708e-01,-5.913100e-02,-9.440224e+00,2.500000e-03,8.824261e-01,8.547865e-01,2.418766e+00,8.436847e-02,21,55,1.000000e+00,-2.855347e-04,8.973074e-01,0
3.165904e-02,-4.433329e-01,-3.668638e-02,-8.494264e+00,2.500000e-03,8.992529e-01,8.740176e-01,2.430750e+00,8.285592e-02,22,56,1.000000e+00,-3.446940e-04,9.039910e-01,0
3.165904e-02,-4.406478e-01,-1.693693e-02,-7.488016e+00,2.500000e-03,9.150482e-01,8.922354e-01,2.442006e+00,8.148769e-02,23,56,1.000000e+00,-3.918039e-04,9.105488e-01,0
3.165904e-02,-4.380141e-01,-2.016922e-03,-7.309212e+00,2.500000e-03,9.296573e-01,9.092511e-01,2.452393e+00,8.026398e-02,24,55,1.000000e+00,-4.274607e-04,9.170123e-01,0
3.165904e-02,-4.354330e-01,9.022692e-03,-6.612891e+00,2.500000e-03,9.429536e-01,9.249017e-01,2.461776e+00,7.918391e-02,25,55,1.000000e+00,-4.521344e-04,9.233811e-01,0
3.165904e-02,-4.329017e-01,1.657406e-02,-5.865062e+00,2.500000e-03,9.548768e-01,9.390961e-01,2.470113e+00,7.824214e-02,26,54,1.000000e+00,-4.662691e-04,9.296373e-01,0
3.165904e-02,-4.304187e-01,2.136978e-02,-4.701073e+00,2.500000e-03,9.653987e-01,9.517790e-01,2.477397e+00,7.743188e-02,27,55,1.000000e+00,-4.703096e-04,9.357479e-01,0
3.165904e-02,-4.279661e-01,2.444668e-02,-3.918893e+00,2.500000e-03,9.745882e-01,9.630109e-01,2.483785e+00,7.674054e-02,28,55,1.000000e+00,-4.647872e-04,9.416920e-01,0
3.165904e-02,-4.255964e-01,2.309072e-02,-3.155229e+00,2.500000e-03,9.823051e-01,9.725922e-01,2.488995e+00,7.617131e-02,29,54,1.000000e+00,-4.507957e-04,9.473747e-01,0
3.165904e-02,-4.231885e-01,2.402384e-02,-2.374572e+00,2.500000e-03,9.889849e-01,9.810386e-01,2.493777e+00,7.568868e-02,30,54,1.000000e+00,-4.286051e-04,9.528724e-01,0
3.165904e-02,-4.207777e-01,2.423437e-02,-1.372548e+00,2.500000e-03,9.945428e-01,9.882228e-01,2.497861e+00,7.529437e-02,31,55,1.000000e+00,-3.994921e-04,9.581329e-01,0
3.165904e-02,-4.183250e-01,2.589497e-02,-6.788659e-01,2.500000e-03,9.991115e-01,9.942902e-01,2.501366e+00,7.497628e-02,32,55,1.000000e+00,-3.643667e-04,9.631661e-01,0
3.165904e-02,-4.158801e-01,2.689422e-02,-5.805522e-02,2.500000e-03,1.002675e+00,9.991862e-01,2.504136e+00,7.473275e-02,33,55,1.000000e+00,-3.256307e-04,9.679060e-01,0
3.165904e-02,-4.134154e-01,2.804778e-02,6.406298e-01,2.500000e-03,1.005382e+00,1.003074e+00,2.506290e+00,7.455165e-02,34,55,1.000000e+00,-2.846960e-04,9.723514e-01,0
3.165904e-02,-4.109457e-01,2.876115e-02,1.064828e+00,2.500000e-03,1.007327e+00,1.006041e+00,2.507854e+00,7.442502e-02,35,55,1.000000e+00,-2.435621e-04,9.764722e-01,0
3.165904e-02,-4.084702e-01,2.906765e-02,1.501894e+00,2.500000e-03,1.008631e+00,1.008214e+00,2.508906e+00,7.434357e-02,36,56,1.000000e+00,-2.037504e-04,9.802561e-01,0
3.165904e-02,-4.059933e-01,2.866496e-02,1.715924e+00,2.500000e-03,1.009409e+00,1.009714e+00,2.509524e+00,7.429882e-02,37,56,1.000000e+00,-1.665587e-04,9.836929e-01,0
3.165904e-02,-4.035159e-01,2.771363e-02,1.839125e+00,2.500000e-03,1.009767e+00,1.010659e+00,2.509787e+00,7.428291e-02,38,56,1.000000e+00,-1.328681e-04,9.867817e-01,0
3.165904e-02,-4.010386e-01,2.626404e-02,1.949607e+00,2.500000e-03,1.009801e+00,1.011156e+00,2.509770e+00,7.428898e-02,39,57,1.000000e+00,-1.032098e-04,9.895274e-01,0
3.165904e-02,-3.985616e-01,2.434328e-02,1.917660e+00,2.500000e-03,1.009592e+00,1.011300e+00,2.509539e+00,7.431122e-02,40,57,1.000000e+00,-7.779701e-05,9.919407e-01,0
3.165904e-02,-3.960850e-01,2.209238e-02,1.832717e+00,2.500000e-03,1.009210e+00,1.011172e+00,2.509152e+00,7.434479e-02,41,57,1.000000e+00,-5.659019e-05,9.940370e-01,0
3.165904e-02,-3.936078e-01,1.966711e-02,1.745578e+00,2.500000e-03,1.008709e+00,1.010841e+00,2.508656e+00,7.438579e-02,42,58,1.000000e+00,-3.934332e-05,9.958352e-01,0
3.165904e-02,-3.911296e-01,1.714546e-02,1.591397e+00,2.500000e-03,1.008132e+00,1.010361e+00,2.508089e+00,7.443117e-02,43,58,1.000000e+00,-2.567622e-05,9.973568e-01,0
3.165904e-02,-3.886500e-01,1.466931e-02,1.423943e+00,2.500000e-03,1.007515e+00,1.009779e+00,2.507483e+00,7.447856e-02,44,58,1.000000e+00,-1.512310e-05,9.986250e-01,0
3.165904e-02,-3.861686e-01,1.234269e-02,1.253265e+00,2.500000e-03,1.006881e+00,1.009131e+00,2.506861e+00,7.452622e-02,45,58,1.000000e+00,-7.176461e-06,9.996638e-01,0
3.165904e-02,-3.836851e-01,1.017598e-02,1.099430e+00,2.500000e-03,1.006250e+00,1.008446e+00,2.506239e+00,7.457289e-02,46,59,1.000000e+00,-1.327824e-06,1.000498e+00,0
3.165904e-02,-3.811994e-01,8.237120e-03,9.408764e-01,2.500000e-03,1.005635e+00,1.007746e+00,2.505632e+00,7.461769e-02,47,59,1.000000e+00,2.901056e-06,9.988515e-01,0
3.165904e-02,-3.787115e-01,6.551853e-03,7.967778e-01,2.500000e-03,1.005045e+00,1.007047e+00,2.505048e+00,7.466009e-02,48,59,1.000000e+00,5.933052e-06,9.983587e-01,0
3.165904e-02,-3.762215e-01,5.121305e-03,6.689919e-01,2.500000e-03,1.004486e+00,1.006362e+00,2.504492e+00,7.469977e-02,49,59,1.000000e+00,8.119211e-06,9.980017e-01,0
3.165904e-02,-3.737295e-01,3.934110e-03,5.578954e-01,2.500000e-03,1.003961e+00,1.005701e+00,2.503969e+00,7.473657e-02,50,59,1.000000e+00,9.730124e-06,9.977598e-01,0
3.165904e-02,-3.712359e-01,2.969320e-03,4.627740e-01,2.500000e-03,1.003472e+00,1.005071e+00,2.503481e+00,7.477046e-02,51,59,1.000000e+00,1.095541e-05,9.976141e-01,0
3.165904e-02,-3.687408e-01,2.197183e-03,3.828062e-01,2.500000e-03,1.003019e+00,1.004475e+00,2.503029e+00,7.480147e-02,52,60,1.000000e+00,1.191066e-05,9.975476e-01,0
3.165904e-02,-3.662444e-01,1.592051e-03,3.146836e-01,2.500000e-03,1.002604e+00,1.003919e+00,2.502613e+00,7.482967e-02,53,60,1.000000e+00,1.265052e-05,9.975450e-01,0
3.165904e-02,-3.637471e-01,1.125440e-03,2.575016e-01,2.500000e-03,1.002225e+00,1.003403e+00,2.502233e+00,7.485516e-02,54,60,1.000000e+00,1.318591e-05,9.975931e-01,0
3.165904e-02,-3.612489e-01,7.702439e-04,2.093778e-01,2.500000e-03,1.001883e+00,1.002930e+00,2.501890e+00,7.487804e-02,55,60,1.000000e+00,1.350306e-05,9.976803e-01,0
3.165904e-02,-3.587502e-01,5.025254e-04,1.686633e-01,2.500000e-03,1.001576e+00,1.002501e+00,2.501581e+00,7.489840e-02,56,60,1.000000e+00,1.358142e-05,9.977965e-01,0
3.165904e-02,-3.562510e-01,3.021806e-04,1.340116e-01,2.500000e-03,1.001304e+00,1.002114e+00,2.501308e+00,7.491636e-02,57,60,1.000000e+00,1.340807e-05,9.979332e-01,0
3.165904e-02,-3.537515e-01,1.530973e-04,1.043908e-01,2.500000e-03,1.001065e+00,1.001770e+00,2.501068e+00,7.493203e-02,58,60,1.000000e+00,1.298681e-05,9.980832e-01,0
3.165904e-02,-3.512518e-01,4.288067e-05,7.905010e-02,2.500000e-03,1.000858e+00,1.001467e+00,2.500860e+00,7.494554e-02,59,60,1.000000e+00,1.234101e-05,9.982407e-01,0
