time,pos_x,vel_x,acc_x,mass,dens,pres,ene,sml,id,neighbor,alpha,gradh,shockSensor,ene_floored
1.579789e-01,-8.015639e-01,-2.805641e+00,-6.260105e+00,2.500000e-03,1.093847e-01,8.317409e-02,2.299941e+00,6.821401e-01,0,151,1.000000e+00,1.879944e-03,0.000000e+00,0
1.579789e-01,-7.955672e-01,-2.780954e+00,-6.222290e+00,2.500000e-03,1.119490e-01,8.501112e-02,2.261346e+00,6.664935e-01,1,148,1.000000e+00,1.783909e-03,6.541174e-01,0
1.579789e-01,-7.873609e-01,-2.738242e+00,-6.161572e+00,2.500000e-03,1.156473e-01,8.765472e-02,2.204268e+00,6.451664e-01,2,143,1.000000e+00,1.650259e-03,6.556302e-01,0
1.579789e-01,-7.765413e-01,-2.673099e+00,-6.065769e+00,2.500000e-03,1.208682e-01,9.137030e-02,2.128280e+00,6.172978e-01,3,136,1.000000e+00,1.473811e-03,6.594623e-01,0
1.579789e-01,-7.627243e-01,-2.580860e+00,-5.918829e+00,2.500000e-03,1.281128e-01,9.648214e-02,2.036057e+00,5.824065e-01,4,128,1.000000e+00,1.259396e-03,6.658562e-01,0
1.579789e-01,-7.456916e-01,-2.458247e+00,-5.706981e+00,2.500000e-03,1.378921e-01,1.032692e-01,1.934227e+00,5.411387e-01,5,119,1.000000e+00,1.041237e-03,6.746018e-01,0
1.579789e-01,-7.257065e-01,-2.307508e+00,-5.441586e+00,2.500000e-03,1.503444e-01,1.116554e-01,1.833078e+00,4.963702e-01,6,108,1.000000e+00,9.029828e-04,6.846517e-01,0
1.579789e-01,-7.038768e-01,-2.141753e+00,-5.194214e+00,2.500000e-03,1.646979e-01,1.208779e-01,1.744460e+00,4.531638e-01,7,100,1.000000e+00,9.303438e-04,6.944569e-01,0
1.579789e-01,-6.820446e-01,-1.983279e+00,-5.073198e+00,2.500000e-03,1.794985e-01,1.298913e-01,1.678078e+00,4.158393e-01,8,93,1.000000e+00,1.086013e-03,7.033802e-01,0
1.579789e-01,-6.619418e-01,-1.850636e+00,-5.117528e+00,2.500000e-03,1.937171e-01,1.382797e-01,1.637381e+00,3.853469e-01,9,89,1.000000e+00,1.234840e-03,7.121368e-01,0
1.579789e-01,-6.444537e-01,-1.749290e+00,-5.268335e+00,2.500000e-03,2.071123e-01,1.462540e-01,1.618884e+00,3.604453e-01,10,86,1.000000e+00,1.292561e-03,7.214884e-01,0
1.579789e-01,-6.296373e-01,-1.674740e+00,-5.442967e+00,2.500000e-03,2.197911e-01,1.541000e-01,1.616043e+00,3.396656e-01,11,83,1.000000e+00,1.252720e-03,7.314109e-01,0
1.579789e-01,-6.171020e-01,-1.619097e+00,-5.586383e+00,2.500000e-03,2.319174e-01,1.619731e-01,1.622989e+00,3.219114e-01,12,81,1.000000e+00,1.142131e-03,7.413336e-01,0
1.579789e-01,-6.063075e-01,-1.574719e+00,-5.674154e+00,2.500000e-03,2.436742e-01,1.699606e-01,1.635736e+00,3.063810e-01,13,79,1.000000e+00,9.921195e-04,7.506383e-01,0
1.579789e-01,-5.967094e-01,-1.535245e+00,-5.699347e+00,2.500000e-03,2.552901e-01,1.781689e-01,1.651879e+00,2.924398e-01,14,78,1.000000e+00,8.290758e-04,7.589511e-01,0
1.579789e-01,-5.878188e-01,-1.495639e+00,-5.661584e+00,2.500000e-03,2.670400e-01,1.867572e-01,1.670001e+00,2.795731e-01,15,76,1.000000e+00,6.733492e-04,7.661856e-01,0
1.579789e-01,-5.792287e-01,-1.452108e+00,-5.562416e+00,2.500000e-03,2.792009e-01,1.959174e-01,1.689223e+00,2.674002e-01,16,75,1.000000e+00,5.403890e-04,7.724599e-01,0
1.579789e-01,-5.706357e-01,-1.402221e+00,-5.406472e+00,2.500000e-03,2.919761e-01,2.058176e-01,1.708986e+00,2.557090e-01,17,74,1.000000e+00,4.403973e-04,7.780101e-01,0
1.579789e-01,-5.618570e-01,-1.345103e+00,-5.205291e+00,2.500000e-03,3.054299e-01,2.165462e-01,1.728973e+00,2.444576e-01,18,73,1.000000e+00,3.762549e-04,7.831502e-01,0
1.579789e-01,-5.533732e-01,-1.298958e+00,-5.246166e+00,2.500000e-03,3.186311e-01,2.273815e-01,1.747997e+00,2.343299e-01,19,70,1.000000e+00,3.457479e-04,7.880106e-01,0
1.579789e-01,-5.459635e-01,-1.265271e+00,-5.314062e+00,2.500000e-03,3.302268e-01,2.371595e-01,1.764177e+00,2.260950e-01,20,68,1.000000e+00,3.390666e-04,7.924172e-01,0
1.579789e-01,-5.389540e-01,-1.229161e+00,-5.272176e+00,2.500000e-03,3.412237e-01,2.466609e-01,1.778550e+00,2.188065e-01,21,67,1.000000e+00,3.451725e-04,7.963885e-01,0
1.579789e-01,-5.319863e-01,-1.187929e+00,-5.255748e+00,2.500000e-03,3.521947e-01,2.563576e-01,1.791908e+00,2.119933e-01,22,66,1.000000e+00,3.586122e-04,8.000350e-01,0
1.579789e-01,-5.248625e-01,-1.145139e+00,-5.126996e+00,2.500000e-03,3.635051e-01,2.665681e-01,1.805103e+00,2.054009e-01,23,66,1.000000e+00,3.751954e-04,8.035467e-01,0
1.579789e-01,-5.177714e-01,-1.104393e+00,-5.178101e+00,2.500000e-03,3.749433e-01,2.770914e-01,1.818008e+00,1.991383e-01,24,65,1.000000e+00,3.899998e-04,8.070425e-01,0
1.579789e-01,-5.103564e-01,-1.054540e+00,-5.268946e+00,2.500000e-03,3.872170e-01,2.885696e-01,1.832168e+00,1.928361e-01,25,65,1.000000e+00,3.993033e-04,8.107759e-01,0
1.579789e-01,-5.036756e-01,-1.018735e+00,-5.249353e+00,2.500000e-03,3.986637e-01,2.994139e-01,1.844992e+00,1.873031e-01,26,65,1.000000e+00,3.993251e-04,8.145696e-01,0
1.579789e-01,-4.970068e-01,-9.844673e-01,-5.392647e+00,2.500000e-03,4.105640e-01,3.108006e-01,1.858834e+00,1.818778e-01,27,65,1.000000e+00,3.896791e-04,8.185088e-01,0
1.579789e-01,-4.903780e-01,-9.443310e-01,-5.396682e+00,2.500000e-03,4.229536e-01,3.227536e-01,1.874041e+00,1.765587e-01,28,65,1.000000e+00,3.699306e-04,8.226576e-01,0
1.579789e-01,-4.849057e-01,-9.225129e-01,-5.534176e+00,2.500000e-03,4.336509e-01,3.331435e-01,1.886091e+00,1.722033e-01,29,65,1.000000e+00,3.463122e-04,8.265325e-01,0
