time [s],pos_x [m],pos_y [m],pos_z [m],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg]
0.0,-2.82,-0.54,-0.08,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.82,-0.54,-6.93889e-18,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.82,-0.54,0.08,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.82,-0.54,0.16,0.101215,0.0100616,0.000468937,0.0699096
0.0,-2.82,-0.42,-0.16,0.101215,0.0125703,0.000679585,0.081094
0.0,-2.82,-0.42,-0.08,0.101215,0.0125703,0.000679585,0.081094
0.0,-2.82,-0.42,-6.93889e-18,0.101215,0.0125703,0.000679585,0.081094
0.0,-2.82,-0.42,0.08,0.101215,0.0125703,0.000679585,0.081094
0.0,-2.82,-0.42,0.16,0.101215,0.0125703,0.000679585,0.081094
0.0,-2.82,-0.3,-0.16,0.101215,0.0145949,0.000871636,0.089583
0.0,-2.82,-0.3,-0.08,0.101215,0.0145949,0.000871636,0.089583
0.0,-2.82,-0.3,-6.93889e-18,0.101215,0.0145949,0.000871636,0.089583
0.0,-2.82,-0.3,0.08,0.101215,0.0145949,0.000871636,0.089583
0.0,-2.82,-0.3,0.16,0.101215,0.0145949,0.000871636,0.089583
0.0,-2.82,-0.18,-0.16,0.101215,0.0160118,0.00101719,0.0952909
0.0,-2.82,-0.18,-0.08,0.101215,0.0160118,0.00101719,0.0952909
0.0,-2.82,-0.18,-6.93889e-18,0.101215,0.0160118,0.00101719,0.0952909
0.0,-2.82,-0.18,0.08,0.101215,0.0160118,0.00101719,0.0952909
0.0,-2.82,-0.18,0.16,0.101215,0.0160118,0.00101719,0.0952909
0.0,-2.82,-0.06,-0.16,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.82,-0.06,-0.08,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.82,-0.06,-6.93889e-18,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.82,-0.06,0.08,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.82,-0.06,0.16,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.82,0.06,-0.16,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.82,0.06,-0.08,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.82,0.06,-6.93889e-18,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.82,0.06,0.08,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.82,0.06,0.16,0.101215,0.0167403,0.00109548,0.0981596
0.0,-2.82,0.18,-0.16,0.101215,0.0160118,0.00101719,0.0952909
0.0,-2.82,0.18,-0.08,0.101215,0.0160118,0.00101719,0.0952909
0.0,-2.82,0.18,-6.93889e-18,0.101215,0.0160118,0.00101719,0.0952909
0.0,-2.82,0.18,0.08,0.101215,0.0160118,0.00101719,0.0952909
0.0,-2.82,0.18,0.16,0.101215,0.0160118,0.00101719,0.0952909
0.0,-2.82,0.3,-0.16,0.101215,0.0145949,0.000871636,0.089583
0.0,-2.82,0.3,-0.08,0.101215,0.0145949,0.000871636,0.089583
