time,pos_x,vel_x,acc_x,mass,dens,pres,ene,sml,id,neighbor,alpha,gradh,shockSensor,ene_floored
5.464084e-02,-5.562544e-01,-1.671807e+00,-1.292730e+01,2.500000e-03,2.569691e-01,1.940905e-01,1.888760e+00,2.432199e-01,0,75,1.000000e+00,8.300568e-01,0.000000e+00,0
5.464084e-02,-5.551115e-01,-1.698597e+00,-1.276210e+01,2.500000e-03,2.603938e-01,1.920856e-01,1.844718e+00,2.400210e-01,1,74,1.000000e+00,8.418076e-01,7.350612e-01,0
5.464084e-02,-5.535058e-01,-1.715398e+00,-1.261787e+01,2.500000e-03,2.653282e-01,1.912629e-01,1.802707e+00,2.355573e-01,2,73,1.000000e+00,8.583903e-01,7.260910e-01,0
5.464084e-02,-5.510967e-01,-1.714440e+00,-1.250169e+01,2.500000e-03,2.729954e-01,1.928193e-01,1.766378e+00,2.289416e-01,3,71,1.000000e+00,8.831573e-01,7.180273e-01,0
5.464084e-02,-5.474244e-01,-1.684684e+00,-1.240589e+01,2.500000e-03,2.852574e-01,1.985874e-01,1.741049e+00,2.191004e-01,4,69,1.000000e+00,9.194672e-01,7.117513e-01,0
5.464084e-02,-5.418335e-01,-1.606963e+00,-1.221877e+01,2.500000e-03,3.050282e-01,2.115121e-01,1.734180e+00,2.048991e-01,5,65,1.000000e+00,9.661364e-01,7.082747e-01,0
5.464084e-02,-5.338153e-01,-1.460999e+00,-1.164594e+01,2.500000e-03,3.344982e-01,2.340884e-01,1.750170e+00,1.868471e-01,6,61,1.000000e+00,9.976721e-01,7.078073e-01,0
5.464084e-02,-5.239232e-01,-1.259668e+00,-1.069443e+01,2.500000e-03,3.695659e-01,2.629780e-01,1.779560e+00,1.691173e-01,7,58,1.000000e+00,9.662600e-01,7.088199e-01,0
5.464084e-02,-5.138330e-01,-1.063024e+00,-1.030565e+01,2.500000e-03,4.020742e-01,2.906016e-01,1.807457e+00,1.554439e-01,8,56,1.000000e+00,8.954668e-01,7.111041e-01,0
5.464084e-02,-5.048561e-01,-9.141743e-01,-1.083798e+01,2.500000e-03,4.300331e-01,3.150267e-01,1.831949e+00,1.453377e-01,9,56,1.000000e+00,8.471052e-01,7.164514e-01,0
5.464084e-02,-4.972767e-01,-8.141543e-01,-1.185280e+01,2.500000e-03,4.554675e-01,3.381927e-01,1.856800e+00,1.372217e-01,10,56,1.000000e+00,8.354759e-01,7.253061e-01,0
5.464084e-02,-4.909033e-01,-7.501867e-01,-1.296724e+01,2.500000e-03,4.800090e-01,3.616248e-01,1.883890e+00,1.302059e-01,11,55,1.000000e+00,8.524193e-01,7.366990e-01,0
5.464084e-02,-4.854661e-01,-7.100535e-01,-1.397752e+01,2.500000e-03,5.044338e-01,3.859874e-01,1.913389e+00,1.239013e-01,12,55,1.000000e+00,8.878060e-01,7.492590e-01,0
5.464084e-02,-4.807210e-01,-6.837848e-01,-1.475848e+01,2.500000e-03,5.290339e-01,4.114661e-01,1.944789e+00,1.181399e-01,13,55,1.000000e+00,9.320628e-01,7.617678e-01,0
5.464084e-02,-4.764584e-01,-6.628057e-01,-1.520670e+01,2.500000e-03,5.538687e-01,4.380223e-01,1.977428e+00,1.128426e-01,14,54,1.000000e+00,9.758101e-01,7.734007e-01,0
5.464084e-02,-4.725197e-01,-6.401688e-01,-1.524485e+01,2.500000e-03,5.787388e-01,4.653479e-01,2.010478e+00,1.079934e-01,15,54,1.000000e+00,1.010492e+00,7.837385e-01,0
5.464084e-02,-4.687767e-01,-6.111895e-01,-1.486918e+01,2.500000e-03,6.033433e-01,4.930230e-01,2.043162e+00,1.035895e-01,16,54,1.000000e+00,1.030876e+00,7.927246e-01,0
5.464084e-02,-4.651131e-01,-5.737142e-01,-1.416934e+01,2.500000e-03,6.275008e-01,5.207588e-01,2.075010e+00,9.960147e-02,17,53,1.000000e+00,1.036718e+00,8.005931e-01,0
5.464084e-02,-4.614441e-01,-5.280425e-01,-1.329856e+01,2.500000e-03,6.511029e-01,5.483496e-01,2.105736e+00,9.599097e-02,18,53,1.000000e+00,1.031419e+00,8.077307e-01,0
5.464084e-02,-4.577413e-01,-4.764668e-01,-1.242422e+01,2.500000e-03,6.739940e-01,5.755368e-01,2.135062e+00,9.273079e-02,19,50,1.000000e+00,1.019303e+00,8.145005e-01,0
5.464084e-02,-4.540238e-01,-4.222662e-01,-1.169006e+01,2.500000e-03,6.960363e-01,6.020866e-01,2.162804e+00,8.979416e-02,20,49,1.000000e+00,1.004275e+00,8.211059e-01,0
5.464084e-02,-4.503263e-01,-3.685593e-01,-1.119352e+01,2.500000e-03,7.172706e-01,6.279893e-01,2.189047e+00,8.713588e-02,21,48,1.000000e+00,9.898011e-01,8.276476e-01,0
5.464084e-02,-4.466819e-01,-3.177126e-01,-1.097200e+01,2.500000e-03,7.379114e-01,6.534657e-01,2.214109e+00,8.469851e-02,22,48,1.000000e+00,9.785639e-01,8.341934e-01,0
5.464084e-02,-4.431184e-01,-2.712185e-01,-1.100522e+01,2.500000e-03,7.582359e-01,6.788346e-01,2.238376e+00,8.242817e-02,23,48,1.000000e+00,9.721970e-01,8.407955e-01,0
5.464084e-02,-4.396624e-01,-2.298908e-01,-1.122799e+01,2.500000e-03,7.784498e-01,7.043427e-01,2.262130e+00,8.028777e-02,24,48,1.000000e+00,9.712773e-01,8.474867e-01,0
5.464084e-02,-4.363314e-01,-1.938301e-01,-1.154859e+01,2.500000e-03,7.986676e-01,7.301315e-01,2.285534e+00,7.825533e-02,25,49,1.000000e+00,9.754647e-01,8.542772e-01,0
5.464084e-02,-4.331376e-01,-1.627384e-01,-1.186767e+01,2.500000e-03,8.188636e-01,7.561658e-01,2.308577e+00,7.632529e-02,26,48,1.000000e+00,9.837307e-01,8.611552e-01,0
5.464084e-02,-4.300814e-01,-1.359309e-01,-1.209589e+01,2.500000e-03,8.389324e-01,7.823036e-01,2.331158e+00,7.449945e-02,27,48,1.000000e+00,9.946580e-01,8.680956e-01,0
5.464084e-02,-4.271545e-01,-1.125493e-01,-1.216449e+01,2.500000e-03,8.587062e-01,8.083132e-01,2.353107e+00,7.278391e-02,28,48,1.000000e+00,1.006714e+00,8.750716e-01,0
5.464084e-02,-4.243382e-01,-9.152805e-02,-1.203018e+01,2.500000e-03,8.780222e-01,8.339598e-01,2.374264e+00,7.118271e-02,29,48,1.000000e+00,1.018519e+00,8.820677e-01,0
5.464084e-02,-4.216100e-01,-7.186798e-02,-1.167377e+01,2.500000e-03,8.967137e-01,8.589946e-01,2.394467e+00,6.969895e-02,30,48,1.000000e+00,1.028978e+00,8.890803e-01,0
5.464084e-02,-4.189488e-01,-5.279012e-02,-1.109762e+01,2.500000e-03,9.146103e-01,8.831578e-01,2.413560e+00,6.833512e-02,31,48,1.000000e+00,1.037352e+00,8.961130e-01,0
