pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,mass,dens,pres,ene,sml,id
-2.95312,-0.515625,-0.16,0,0,0,0,0,0,0.0619579,1.27376e-05,6.94725e-09,0.000818119,3.03102e-314,0
-2.95312,-0.515625,-0.08,0,0,0,0,0,0,0.0619579,1.27376e-05,6.94725e-09,0.000818119,3.03102e-314,1
-2.95312,-0.515625,0,0,0,0,0,0,0,0.0619579,1.27376e-05,6.94725e-09,0.000818119,3.03102e-314,2
-2.95312,-0.515625,0.08,0,0,0,0,0,0,0.0619579,1.27376e-05,6.94725e-09,0.000818119,3.03102e-314,3
-2.95312,-0.515625,0.16,0,0,0,0,0,0,0.0619579,1.27376e-05,6.94725e-09,0.000818119,3.03102e-314,4
-2.95312,-0.421875,-0.16,0,0,0,0,0,0,0.0619579,0.0002729,1.14817e-06,0.00631093,3.03102e-314,5
-2.95312,-0.421875,-0.08,0,0,0,0,0,0,0.0619579,0.0002729,1.14817e-06,0.00631093,3.03102e-314,6
-2.95312,-0.421875,0,0,0,0,0,0,0,0.0619579,0.0002729,1.14817e-06,0.00631093,3.03102e-314,7
-2.95312,-0.421875,0.08,0,0,0,0,0,0,0.0619579,0.0002729,1.14817e-06,0.00631093,3.03102e-314,8
-2.95312,-0.421875,0.16,0,0,0,0,0,0,0.0619579,0.0002729,1.14817e-06,0.00631093,3.03102e-314,9
-2.95312,-0.328125,-0.16,0,0,0,0,0,0,0.0619579,0.000607889,4.36222e-06,0.010764,3.03102e-314,10
-2.95312,-0.328125,-0.08,0,0,0,0,0,0,0.0619579,0.000607889,4.36222e-06,0.010764,3.03102e-314,11
-2.95312,-0.328125,0,0,0,0,0,0,0,0.0619579,0.000607889,4.36222e-06,0.010764,3.03102e-314,12
-2.95312,-0.328125,0.08,0,0,0,0,0,0,0.0619579,0.000607889,4.36222e-06,0.010764,3.03102e-314,13
-2.95312,-0.328125,0.16,0,0,0,0,0,0,0.0619579,0.000607889,4.36222e-06,0.010764,3.03102e-314,14
-2.95312,-0.234375,-0.16,0,0,0,0,0,0,0.0619579,0.000915125,8.62583e-06,0.0141388,3.03102e-314,15
-2.95312,-0.234375,-0.08,0,0,0,0,0,0,0.0619579,0.000915125,8.62583e-06,0.0141388,3.03102e-314,16
-2.95312,-0.234375,0,0,0,0,0,0,0,0.0619579,0.000915125,8.62583e-06,0.0141388,3.03102e-314,17
-2.95312,-0.234375,0.08,0,0,0,0,0,0,0.0619579,0.000915125,8.62583e-06,0.0141388,3.03102e-314,18
-2.95312,-0.234375,0.16,0,0,0,0,0,0,0.0619579,0.000915125,8.62583e-06,0.0141388,3.03102e-314,19
-2.95312,-0.140625,-0.16,0,0,0,0,0,0,0.0619579,0.00114379,1.25096e-05,0.0164055,3.03102e-314,20
-2.95312,-0.140625,-0.08,0,0,0,0,0,0,0.0619579,0.00114379,1.25096e-05,0.0164055,3.03102e-314,21
-2.95312,-0.140625,0,0,0,0,0,0,0,0.0619579,0.00114379,1.25096e-05,0.0164055,3.03102e-314,22
-2.95312,-0.140625,0.08,0,0,0,0,0,0,0.0619579,0.00114379,1.25096e-05,0.0164055,3.03102e-314,23
-2.95312,-0.140625,0.16,0,0,0,0,0,0,0.0619579,0.00114379,1.25096e-05,0.0164055,3.03102e-314,24
-2.95312,-0.046875,-0.16,0,0,0,0,0,0,0.0619579,0.00126489,1.47941e-05,0.0175439,3.03102e-314,25
-2.95312,-0.046875,-0.08,0,0,0,0,0,0,0.0619579,0.00126489,1.47941e-05,0.0175439,3.03102e-314,26
-2.95312,-0.046875,0,0,0,0,0,0,0,0.0619579,0.00126489,1.47941e-05,0.0175439,3.03102e-314,27
-2.95312,-0.046875,0.08,0,0,0,0,0,0,0.0619579,0.00126489,1.47941e-05,0.0175439,3.03102e-314,28
-2.95312,-0.046875,0.16,0,0,0,0,0,0,0.0619579,0.00126489,1.47941e-05,0.0175439,3.03102e-314,29
-2.95312,0.046875,-0.16,0,0,0,0,0,0,0.0619579,0.00126489,1.47941e-05,0.0175439,3.03102e-314,30
-2.95312,0.046875,-0.08,0,0,0,0,0,0,0.0619579,0.00126489,1.47941e-05,0.0175439,3.03102e-314,31
-2.95312,0.046875,0,0,0,0,0,0,0,0.0619579,0.00126489,1.47941e-05,0.0175439,3.03102e-314,32
-2.95312,0.046875,0.08,0,0,0,0,0,0,0.0619579,0.00126489,1.47941e-05,0.0175439,3.03102e-314,33
-2.95312,0.046875,0.16,0,0,0,0,0,0,0.0619579,0.00126489,1.47941e-05,0.0175439,3.03102e-314,34
-2.95312,0.140625,-0.16,0,0,0,0,0,0,0.0619579,0.00114379,1.25096e-05,0.0164055,3.03102e-314,35
-2.95312,0.140625,-0.08,0,0,0,0,0,0,0.0619579,0.00114379,1.25096e-05,0.0164055,3.03102e-314,36
-2.95312,0.140625,0,0,0,0,0,0,0,0.0619579,0.00114379,1.25096e-05,0.0164055,3.03102e-314,37
-2.95312,0.140625,0.08,0,0,0,0,0,0,0.0619579,0.00114379,1.25096e-05,0.0164055,3.03102e-314,38
-2.95312,0.140625,0.16,0,0,0,0,0,0,0.0619579,0.00114379,1.25096e-05,0.0164055,3.03102e-314,39
-2.95312,0.234375,-0.16,0,0,0,0,0,0,0.0619579,0.000915125,8.62583e-06,0.0141388,3.03102e-314,40
-2.95312,0.234375,-0.08,0,0,0,0,0,0,0.0619579,0.000915125,8.62583e-06,0.0141388,3.03102e-314,41
-2.95312,0.234375,0,0,0,0,0,0,0,0.0619579,0.000915125,8.62583e-06,0.0141388,3.03102e-314,42
-2.95312,0.234375,0.08,0,0,0,0,0,0,0.0619579,0.000915125,8.62583e-06,0.0141388,3.03102e-314,43
-2.95312,0.234375,0.16,0,0,0,0,0,0,0.0619579,0.000915125,8.62583e-06,0.0141388,3.03102e-314,44
-2.95312,0.328125,-0.16,0,0,0,0,0,0,0.0619579,0.000607889,4.36222e-06,0.010764,3.03102e-314,45
-2.95312,0.328125,-0.08,0,0,0,0,0,0,0.0619579,0.000607889,4.36222e-06,0.010764,3.03102e-314,46
-2.95312,0.328125,0,0,0,0,0,0,0,0.0619579,0.000607889,4.36222e-06,0.010764,3.03102e-314,47
-2.95312,0.328125,0.08,0,0,0,0,0,0,0.0619579,0.000607889,4.36222e-06,0.010764,3.03102e-314,48
-2.95312,0.328125,0.16,0,0,0,0,0,0,0.0619579,0.000607889,4.36222e-06,0.010764,3.03102e-314,49
-2.95312,0.421875,-0.16,0,0,0,0,0,0,0.0619579,0.0002729,1.14817e-06,0.00631093,3.03102e-314,50
-2.95312,0.421875,-0.08,0,0,0,0,0,0,0.0619579,0.0002729,1.14817e-06,0.00631093,3.03102e-314,51
-2.95312,0.421875,0,0,0,0,0,0,0,0.0619579,0.0002729,1.14817e-06,0.00631093,3.03102e-314,52
-2.95312,0.421875,0.08,0,0,0,0,0,0,0.0619579,0.0002729,1.14817e-06,0.00631093,3.03102e-314,53
-2.95312,0.421875,0.16,0,0,0,0,0,0,0.0619579,0.0002729,1.14817e-06,0.00631093,3.03102e-314,54
-2.95312,0.515625,-0.16,0,0,0,0,0,0,0.0619579,1.27376e-05,6.94725e-09,0.000818119,3.03102e-314,55
-2.95312,0.515625,-0.08,0,0,0,0,0,0,0.0619579,1.27376e-05,6.94725e-09,0.000818119,3.03102e-314,56
-2.95312,0.515625,0,0,0,0,0,0,0,0.0619579,1.27376e-05,6.94725e-09,0.000818119,3.03102e-314,57
-2.95312,0.515625,0.08,0,0,0,0,0,0,0.0619579,1.27376e-05,6.94725e-09,0.000818119,3.03102e-314,58
-2.95312,0.515625,0.16,0,0,0,0,0,0,0.0619579,1.27376e-05,6.94725e-09,0.000818119,3.03102e-314,59
-2.85938,-0.890625,-0.16,0,0,0,0,0,0,0.0619579,4.54452e-05,5.78736e-08,0.00191022,3.03102e-314,60
-2.85938,-0.890625,-0.08,0,0,0,0,0,0,0.0619579,4.54452e-05,5.78736e-08,0.00191022,3.03102e-314,61
-2.85938,-0.890625,0,0,0,0,0,0,0,0.0619579,4.54452e-05,5.78736e-08,0.00191022,3.03102e-314,62
-2.85938,-0.890625,0.08,0,0,0,0,0,0,0.0619579,4.54452e-05,5.78736e-08,0.00191022,3.03102e-314,63
-2.85938,-0.890625,0.16,0,0,0,0,0,0,0.0619579,4.54452e-05,5.78736e-08,0.00191022,3.03102e-314,64
-2.85938,-0.796875,-0.16,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,65
-2.85938,-0.796875,-0.08,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,66
-2.85938,-0.796875,0,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,67
-2.85938,-0.796875,0.08,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,68
-2.85938,-0.796875,0.16,0,0,0,0,0,0,0.0619579,0.000705332,5.58885e-06,0.0118856,3.03102e-314,69
-2.85938,-0.703125,-0.16,0,0,0,0,0,0,0.0619579,0.00165412,2.31355e-05,0.0209799,3.03102e-314,70
-2.85938,-0.703125,-0.08,0,0,0,0,0,0,0.0619579,0.00165412,2.31355e-05,0.0209799,3.03102e-314,71
-2.85938,-0.703125,0,0,0,0,0,0,0,0.0619579,0.00165412,2.31355e-05,0.0209799,3.03102e-314,72
-2.85938,-0.703125,0.08,0,0,0,0,0,0,0.0619579,0.00165412,2.31355e-05,0.0209799,3.03102e-314,73
-2.85938,-0.703125,0.16,0,0,0,0,0,0,0.0619579,0.00165412,2.31355e-05,0.0209799,3.03102e-314,74
-2.85938,-0.609375,-0.16,0,0,0,0,0,0,0.0619579,0.00270476,5.25068e-05,0.0291191,3.03102e-314,75
-2.85938,-0.609375,-0.08,0,0,0,0,0,0,0.0619579,0.00270476,5.25068e-05,0.0291191,3.03102e-314,76
-2.85938,-0.609375,0,0,0,0,0,0,0,0.0619579,0.00270476,5.25068e-05,0.0291191,3.03102e-314,77
-2.85938,-0.609375,0.08,0,0,0,0,0,0,0.0619579,0.00270476,5.25068e-05,0.0291191,3.03102e-314,78
-2.85938,-0.609375,0.16,0,0,0,0,0,0,0.0619579,0.00270476,5.25068e-05,0.0291191,3.03102e-314,79
-2.85938,-0.515625,-0.16,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,80
-2.85938,-0.515625,-0.08,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,81
-2.85938,-0.515625,0,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,82
-2.85938,-0.515625,0.08,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,83
-2.85938,-0.515625,0.16,0,0,0,0,0,0,0.0619579,0.00375447,9.06944e-05,0.0362346,3.03102e-314,84
-2.85938,-0.421875,-0.16,0,0,0,0,0,0,0.0619579,0.00472967,0.000133266,0.0422648,3.03102e-314,85
-2.85938,-0.421875,-0.08,0,0,0,0,0,0,0.0619579,0.00472967,0.000133266,0.0422648,3.03102e-314,86
-2.85938,-0.421875,0,0,0,0,0,0,0,0.0619579,0.00472967,0.000133266,0.0422648,3.03102e-314,87
-2.85938,-0.421875,0.08,0,0,0,0,0,0,0.0619579,0.00472967,0.000133266,0.0422648,3.03102e-314,88
-2.85938,-0.421875,0.16,0,0,0,0,0,0,0.0619579,0.00472967,0.000133266,0.0422648,3.03102e-314,89
-2.85938,-0.328125,-0.16,0,0,0,0,0,0,0.0619579,0.00557404,0.000175233,0.0471561,3.03102e-314,90
-2.85938,-0.328125,-0.08,0,0,0,0,0,0,0.0619579,0.00557404,0.000175233,0.0471561,3.03102e-314,91
-2.85938,-0.328125,0,0,0,0,0,0,0,0.0619579,0.00557404,0.000175233,0.0471561,3.03102e-314,92
-2.85938,-0.328125,0.08,0,0,0,0,0,0,0.0619579,0.00557404,0.000175233,0.0471561,3.03102e-314,93
-2.85938,-0.328125,0.16,0,0,0,0,0,0,0.0619579,0.00557404,0.000175233,0.0471561,3.03102e-314,94
-2.85938,-0.234375,-0.16,0,0,0,0,0,0,0.0619579,0.00624431,0.000211742,0.0508644,3.03102e-314,95
-2.85938,-0.234375,-0.08,0,0,0,0,0,0,0.0619579,0.00624431,0.000211742,0.0508644,3.03102e-314,96
