time [s],pos_x [m],vel_x [m/s],acc_x [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor,ene_floored
1.620603e-01,1.845000e+00,6.768862e-08,1.262186e-06,2.500000e-03,2.499999e-01,1.999999e-01,2.000000e+00,3.000001e-01,384,60,1.000000e+00,-3.049164e-09,9.999994e-01,0
1.620603e-01,1.855000e+00,9.666548e-08,1.902757e-06,2.500000e-03,2.499999e-01,1.999999e-01,2.000000e+00,3.000001e-01,385,60,1.000000e+00,-3.415717e-09,9.999993e-01,0
1.620603e-01,1.865000e+00,1.340334e-07,2.737007e-06,2.500000e-03,2.499999e-01,1.999999e-01,2.000000e+00,3.000001e-01,386,60,1.000000e+00,-3.805318e-09,9.999992e-01,0
1.620603e-01,1.875000e+00,1.820547e-07,3.827106e-06,2.500000e-03,2.499999e-01,1.999998e-01,2.000000e+00,3.000001e-01,387,60,1.000000e+00,-4.216009e-09,9.999992e-01,0
1.620603e-01,1.885000e+00,2.435426e-07,5.254962e-06,2.500000e-03,2.499999e-01,1.999998e-01,2.000000e+00,3.000001e-01,388,60,1.000000e+00,-4.645080e-09,9.999991e-01,0
1.620603e-01,1.895000e+00,3.219448e-07,7.126449e-06,2.500000e-03,2.499998e-01,1.999998e-01,1.999999e+00,3.000002e-01,389,60,1.000000e+00,-5.088649e-09,9.999990e-01,0
1.620603e-01,1.905000e+00,4.214170e-07,9.575594e-06,2.500000e-03,2.499998e-01,1.999998e-01,1.999999e+00,3.000002e-01,390,60,1.000000e+00,-5.540887e-09,9.999989e-01,0
1.620603e-01,1.915000e+00,5.468788e-07,1.276834e-05,2.500000e-03,2.499998e-01,1.999997e-01,1.999999e+00,3.000002e-01,391,60,1.000000e+00,-5.992771e-09,9.999989e-01,0
1.620603e-01,1.925000e+00,7.040406e-07,1.690539e-05,2.500000e-03,2.499997e-01,1.999997e-01,1.999999e+00,3.000002e-01,392,60,1.000000e+00,-6.430163e-09,9.999989e-01,0
1.620603e-01,1.935000e+00,8.993920e-07,2.222355e-05,2.500000e-03,2.499997e-01,1.999996e-01,1.999999e+00,3.000003e-01,393,60,1.000000e+00,-6.831044e-09,9.999989e-01,0
