time [s],pos_x [m],vel_x [m/s],acc_x [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor,ene_floored
1.545342e-01,-8.031404e-01,-2.862357e+00,-6.303816e+00,2.500000e-03,1.048790e-01,8.019104e-02,2.390150e+00,6.834378e-01,0,148,1.000000e+00,1.955605e-03,0.000000e+00,0
1.545342e-01,-7.974081e-01,-2.838920e+00,-6.269686e+00,2.500000e-03,1.071797e-01,8.183907e-02,2.345590e+00,6.684966e-01,1,146,1.000000e+00,1.866200e-03,6.434997e-01,0
1.545342e-01,-7.887920e-01,-2.791639e+00,-6.209492e+00,2.500000e-03,1.108393e-01,8.445317e-02,2.271615e+00,6.462429e-01,2,141,1.000000e+00,1.730560e-03,6.448952e-01,0
1.545342e-01,-7.766573e-01,-2.713725e+00,-6.107366e+00,2.500000e-03,1.164030e-01,8.840272e-02,2.167380e+00,6.153115e-01,3,135,1.000000e+00,1.541010e-03,6.494058e-01,0
1.545342e-01,-7.605092e-01,-2.598996e+00,-5.943534e+00,2.500000e-03,1.245519e-01,9.411245e-02,2.039622e+00,5.752103e-01,4,126,1.000000e+00,1.307850e-03,6.573507e-01,0
1.545342e-01,-7.403455e-01,-2.446040e+00,-5.710007e+00,2.500000e-03,1.358477e-01,1.018222e-01,1.903626e+00,5.277635e-01,5,115,1.000000e+00,1.092128e-03,6.681332e-01,0
1.545342e-01,-7.171688e-01,-2.265556e+00,-5.453316e+00,2.500000e-03,1.500490e-01,1.110693e-01,1.779295e+00,4.783294e-01,6,105,1.000000e+00,1.013020e-03,6.798751e-01,0
1.545342e-01,-6.931300e-01,-2.083369e+00,-5.294817e+00,2.500000e-03,1.656884e-01,1.206051e-01,1.683441e+00,4.336504e-01,7,96,1.000000e+00,1.117773e-03,6.908171e-01,0
1.545342e-01,-6.706380e-01,-1.927124e+00,-5.321609e+00,2.500000e-03,1.811319e-01,1.295156e-01,1.623088e+00,3.970148e-01,8,90,1.000000e+00,1.277562e-03,7.011210e-01,0
1.545342e-01,-6.511469e-01,-1.808787e+00,-5.486177e+00,2.500000e-03,1.956865e-01,1.378444e-01,1.594171e+00,3.676977e-01,9,86,1.000000e+00,1.355454e-03,7.118301e-01,0
1.545342e-01,-6.349090e-01,-1.724498e+00,-5.681944e+00,2.500000e-03,2.093217e-01,1.459398e-01,1.587243e+00,3.438478e-01,10,83,1.000000e+00,1.319737e-03,7.231682e-01,0
1.545342e-01,-6.214696e-01,-1.664187e+00,-5.835120e+00,2.500000e-03,2.221887e-01,1.540077e-01,1.593776e+00,3.239491e-01,11,80,1.000000e+00,1.198219e-03,7.345060e-01,0
1.545342e-01,-6.101375e-01,-1.617848e+00,-5.916960e+00,2.500000e-03,2.345019e-01,1.621523e-01,1.608213e+00,3.068975e-01,12,78,1.000000e+00,1.029676e-03,7.450622e-01,0
1.545342e-01,-6.002144e-01,-1.577283e+00,-5.922707e+00,2.500000e-03,2.465568e-01,1.705031e-01,1.627346e+00,2.918361e-01,13,76,1.000000e+00,8.465693e-04,7.543705e-01,0
1.545342e-01,-5.910815e-01,-1.536078e+00,-5.854102e+00,2.500000e-03,2.587194e-01,1.792659e-01,1.649257e+00,2.780836e-01,14,74,1.000000e+00,6.730332e-04,7.623504e-01,0
1.545342e-01,-5.822413e-01,-1.489518e+00,-5.713390e+00,2.500000e-03,2.713456e-01,1.886819e-01,1.672616e+00,2.651602e-01,15,73,1.000000e+00,5.272814e-04,7.691759e-01,0
1.545342e-01,-5.733530e-01,-1.434878e+00,-5.506884e+00,2.500000e-03,2.846539e-01,1.989313e-01,1.696383e+00,2.528363e-01,16,71,1.000000e+00,4.215919e-04,7.751458e-01,0
1.545342e-01,-5.642488e-01,-1.371709e+00,-5.252037e+00,2.500000e-03,2.986399e-01,2.100544e-01,1.719779e+00,2.411131e-01,17,70,1.000000e+00,3.591878e-04,7.806285e-01,0
1.545342e-01,-5.561300e-01,-1.332129e+00,-5.420587e+00,2.500000e-03,3.112156e-01,2.203630e-01,1.740122e+00,2.313187e-01,18,67,1.000000e+00,3.362466e-04,7.856367e-01,0
1.545342e-01,-5.494340e-01,-1.302062e+00,-5.362608e+00,2.500000e-03,3.215823e-01,2.290927e-01,1.756048e+00,2.237944e-01,19,65,1.000000e+00,3.365434e-04,7.897773e-01,0
1.545342e-01,-5.420700e-01,-1.257226e+00,-5.311765e+00,2.500000e-03,3.329586e-01,2.389224e-01,1.771164e+00,2.161741e-01,20,64,1.000000e+00,3.520171e-04,7.934187e-01,0
1.545342e-01,-5.342722e-01,-1.204222e+00,-5.147470e+00,2.500000e-03,3.450127e-01,2.496104e-01,1.785553e+00,2.086908e-01,21,64,1.000000e+00,3.782541e-04,7.969309e-01,0
1.545342e-01,-5.273828e-01,-1.164858e+00,-5.200035e+00,2.500000e-03,3.557458e-01,2.593402e-01,1.796858e+00,2.024155e-01,22,64,1.000000e+00,4.033128e-04,8.002105e-01,0
1.545342e-01,-5.194761e-01,-1.116025e+00,-5.305277e+00,2.500000e-03,3.683140e-01,2.709513e-01,1.809939e+00,1.955709e-01,23,63,1.000000e+00,4.271644e-04,8.037290e-01,0
