time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor
2.82065,42.3189,13.0052,0,-50.7923,22.199,0,-106.725,16.0783,0,0.00372096,0.992367,0.987311,158.591,1.87613,35,2396,2,4.1041e-314,0.990409
2.82065,42.793,12.8725,0,-50.4011,22.1624,0,-105.62,16.1587,0,0.00372096,0.992255,0.987125,83.9544,1.87623,36,2391,2,4.1041e-314,0.986973
2.82065,42.5176,12.9783,0,-50.6673,22.0449,0,-106.396,15.938,0,0.00372096,0.992143,0.98694,139.631,1.87634,37,2394,2,4.1041e-314,0.981837
2.82065,42.4288,12.9966,0,-50.7406,22.0724,0,-106.119,15.9807,0,0.00372096,0.992034,0.986758,153.476,1.87644,38,2392,2,4.1041e-314,0.984211
2.82065,42.4566,12.8246,0,-50.4756,22.8588,0,-105.345,18.1389,0,0.00372096,0.991924,0.986576,141.888,1.87655,39,2401,2,4.1041e-314,0.970983
2.82065,42.3415,12.8797,0,-50.6114,22.7507,0,-106.337,17.6229,0,0.00372096,0.991814,0.986395,156.094,1.87665,40,2405,2,4.1041e-314,0.977241
2.82065,42.6638,12.7933,0,-50.3464,22.7068,0,-105.329,17.5125,0,0.00372096,0.991706,0.986216,103.316,1.87675,41,2404,2,4.1041e-314,0.977007
2.82065,42.6467,12.9359,0,-50.5584,22.0624,0,-105.677,16.0389,0,0.00372096,0.991599,0.986038,114.824,1.87686,42,2393,2,4.1041e-314,0.983975
2.82065,42.264,13.002,0,-50.821,22.2814,0,-106.797,16.3897,0,0.00372096,0.991492,0.98586,158.893,1.87696,43,2403,2,4.1041e-314,0.990466
2.82065,42.6039,12.9678,0,-50.6245,21.9761,0,-105.619,15.981,0,0.00372096,0.991384,0.985682,124.873,1.87706,44,2392,2,4.1041e-314,0.978645
2.82065,42.6277,12.7811,0,-50.3508,22.811,0,-105.157,17.9843,0,0.00372096,0.991279,0.985507,109.872,1.87716,45,2406,2,4.1041e-314,0.971347
2.82065,42.2001,13.0061,0,-50.863,22.3482,0,-107.11,17.062,0,0.00372096,0.991173,0.985332,154.848,1.87726,46,2402,2,4.1041e-314,0.987876
2.82065,42.5092,13.003,0,-50.7039,21.9416,0,-105.966,15.5075,0,0.00372096,0.991068,0.985157,142.076,1.87736,47,2386,2,4.1041e-314,0.975882
2.82065,42.2509,12.9287,0,-50.7227,22.655,0,-106.271,17.4393,0,0.00372096,0.990962,0.984982,157.77,1.87746,48,2408,2,4.1041e-314,0.981495
2.82065,42.8132,12.8892,0,-50.4154,22.0585,0,-105.456,16.0939,0,0.00372096,0.990858,0.984811,81.6132,1.87756,49,2390,2,4.1041e-314,0.981701
2.82065,42.762,12.7667,0,-50.2799,22.679,0,-105.25,17.6557,0,0.00372096,0.990755,0.984639,84.7948,1.87765,50,2399,2,4.1041e-314,0.975571
2.82065,42.1879,12.9871,0,-50.8334,22.4573,0,-107.196,17.189,0,0.00372096,0.990651,0.984467,153.876,1.87775,51,2406,2,4.1041e-314,0.986518
2.82065,42.1995,13.0373,0,-50.9063,22.2081,0,-107.246,16.6436,0,0.00372096,0.990547,0.984295,154.304,1.87785,52,2397,2,4.1041e-314,0.986735
2.82065,42.8039,12.7764,0,-50.2688,22.582,0,-105.249,17.515,0,0.00372096,0.990445,0.984126,78.0677,1.87795,53,2400,2,4.1041e-314,0.978941
2.82065,42.5465,12.8028,0,-50.424,22.8202,0,-105.538,17.658,0,0.00372096,0.990343,0.983956,126.844,1.87804,54,2410,2,4.1041e-314,0.971625
2.82065,42.2693,13.0372,0,-50.864,22.1175,0,-106.885,16.219,0,0.00372096,0.99024,0.983787,158.571,1.87814,55,2402,2,4.1041e-314,0.984928
2.82065,42.2155,12.9135,0,-50.7127,22.7764,0,-106.702,17.8108,0,0.00372096,0.990138,0.983618,156.104,1.87824,56,2418,2,4.1041e-314,0.974447
2.82065,42.1597,12.9762,0,-50.8178,22.565,0,-107.31,17.3745,0,0.00372096,0.990037,0.98345,150.609,1.87834,57,2405,2,4.1041e-314,0.982542
2.82065,42.8399,12.8,0,-50.2806,22.4275,0,-105.411,16.7476,0,0.00372096,0.989936,0.983283,73.33,1.87843,58,2398,2,4.1041e-314,0.983038
