time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh
0,0.0110233,0.19528,0,0,0,0,0,0,0,0.00310059,0.989139,0.981964,1.48912,4.81221e+233,38,83886081,3.01293e-314,2.1026e-297
0,-0.0806726,-0.18098,0,0,0,0,0,0,0,0.00310059,0.988995,0.981726,1.48897,4.81221e+233,39,83886081,3.01293e-314,2.1026e-297
0,-0.15463,-0.127916,0,0,0,0,0,0,0,0.00310059,0.988852,0.981489,1.48883,4.81221e+233,40,83886081,3.01293e-314,2.1026e-297
0,0.101403,-0.175989,0,0,0,0,0,0,0,0.00310059,0.988712,0.981257,1.48869,4.81221e+233,41,83886081,3.01293e-314,2.1026e-297
0,0.0951918,0.182172,0,0,0,0,0,0,0,0.00310059,0.988571,0.981025,1.48855,4.81221e+233,42,83886081,3.01293e-314,2.1026e-297
0,-0.161128,0.131498,0,0,0,0,0,0,0,0.00310059,0.988431,0.980793,1.48841,4.81221e+233,43,83886081,3.01293e-314,2.1026e-297
0,0.0869014,0.191617,0,0,0,0,0,0,0,0.00310059,0.988291,0.980561,1.48827,4.81221e+233,44,83886081,3.01293e-314,2.1026e-297
0,0.00716455,-0.212601,0,0,0,0,0,0,0,0.00310059,0.988154,0.980334,1.48813,4.81221e+233,45,83886081,3.01293e-314,2.1026e-297
0,-0.191699,0.0974392,0,0,0,0,0,0,0,0.00310059,0.988017,0.980108,1.48799,4.81221e+233,46,83886081,3.01293e-314,2.1026e-297
0,0.0567738,0.209816,0,0,0,0,0,0,0,0.00310059,0.98788,0.979881,1.48786,4.81221e+233,47,83886081,3.01293e-314,2.1026e-297
0,-0.200104,-0.0906539,0,0,0,0,0,0,0,0.00310059,0.987743,0.979655,1.48772,4.81221e+233,48,83886081,3.01293e-314,2.1026e-297
0,0.217646,0.0433824,0,0,0,0,0,0,0,0.00310059,0.987608,0.979431,1.48758,4.81221e+233,49,83886081,3.01293e-314,2.1026e-297
0,0.122807,-0.187508,0,0,0,0,0,0,0,0.00310059,0.987473,0.979209,1.48745,4.81221e+233,50,83886081,3.01293e-314,2.1026e-297
0,-0.215176,0.0702826,0,0,0,0,0,0,0,0.00310059,0.987339,0.978987,1.48731,4.81221e+233,51,83886081,3.01293e-314,2.1026e-297
0,-0.180747,0.139928,0,0,0,0,0,0,0,0.00310059,0.987205,0.978766,1.48718,4.81221e+233,52,83886081,3.01293e-314,2.1026e-297
