time [s],pos_x [m],pos_y [m],pos_z [m],vel_x [m/s],vel_y [m/s],vel_z [m/s],acc_x [m/s^2],acc_y [m/s^2],acc_z [m/s^2],mass [kg],dens [kg/m^3],pres [Pa],ene [J/kg],sml [m],id,neighbor,alpha,gradh,shockSensor,ene_floored
0.000000e+00,-2.940000e+00,-1.800000e-01,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.727706e-03,5.325118e-05,2.928350e-02,3.015988e-314,19,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,-6.000000e-02,-1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,3.105610e-03,6.610662e-05,3.192929e-02,3.015988e-314,20,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,-6.000000e-02,-8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,3.105610e-03,6.610662e-05,3.192929e-02,3.015988e-314,21,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,-6.000000e-02,-6.938894e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,3.105610e-03,6.610662e-05,3.192929e-02,3.015988e-314,22,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,-6.000000e-02,8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,3.105610e-03,6.610662e-05,3.192929e-02,3.015988e-314,23,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,-6.000000e-02,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,3.105610e-03,6.610662e-05,3.192929e-02,3.015988e-314,24,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,6.000000e-02,-1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,3.105610e-03,6.610662e-05,3.192929e-02,3.015988e-314,25,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,6.000000e-02,-8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,3.105610e-03,6.610662e-05,3.192929e-02,3.015988e-314,26,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,6.000000e-02,-6.938894e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,3.105610e-03,6.610662e-05,3.192929e-02,3.015988e-314,27,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,6.000000e-02,8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,3.105610e-03,6.610662e-05,3.192929e-02,3.015988e-314,28,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,6.000000e-02,1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,3.105610e-03,6.610662e-05,3.192929e-02,3.015988e-314,29,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,1.800000e-01,-1.600000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.727706e-03,5.325118e-05,2.928350e-02,3.015988e-314,30,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,1.800000e-01,-8.000000e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.727706e-03,5.325118e-05,2.928350e-02,3.015988e-314,31,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
0.000000e+00,-2.940000e+00,1.800000e-01,-6.938894e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.012146e-01,2.727706e-03,5.325118e-05,2.928350e-02,3.015988e-314,32,1,1.086944e-322,3.015988e-314,4.940656e-324,2147482624
